location,lat,lon,altitude
Abids,17.389810000000068,78.47659000000004,512.0
Adilabad,19.672030000000063,78.53590000000008,258.0
Balanagar,16.948050000000023,78.18444000000005,563.0
Balasamudram,18.00099000000006,79.56018000000006,268.0
Buddha Purnima Project office,17.409060000000068,78.47374000000008,521.0
CAAQMS Bollaram,18.168900000000065,78.08390000000009,463.0
CAAQMS Nacharam,17.431250000000034,78.55922000000004,512.0
Charminar,17.360250000000065,78.47014000000007,506.0
Chikkadapally,17.398227603962024,78.4961771081276,494.0
Choutuppal,17.252710000000036,78.89614000000006,368.0
ECIL,17.42087514237781,78.54339414429708,515.0
Gaddapotharam,17.657340000000033,78.37400000000008,606.0
Godavarikhani,18.756260000000054,79.50920000000008,155.0
HCU,17.802515696000057,79.01075984700003,464.0
ICRISAT,17.516590000000065,78.27499000000006,538.0
IITH,17.802515696000057,79.01075984700003,464.0
Jeedimetla,17.521830000000023,78.45433000000008,567.0
Jubilee Hills,17.038170000000036,79.28520000000003,240.0
KBRN Park,17.425586534500578,78.41925295602329,600.0
Karimnagar,18.43915000000004,79.12856000000005,279.0
Khairthabad RTA,17.405920000000037,78.45856000000003,537.0
Khammam,17.251630000000034,80.15729000000005,125.0
Kokapet,17.405860000000075,78.33022000000005,546.0
Komaplly,17.549060000000054,78.48655000000008,581.0
Kothagudem,17.543300000000045,80.61900000000009,116.0
Kothur,17.147830000000056,78.28888000000006,595.0
Kuda,17.802515696000057,79.01075984700003,464.0
Kukatpally,17.48735000000005,78.42087000000004,554.0
Langar House,17.363510000000076,78.41933000000006,514.0
MGBS,17.37706000000003,78.48489000000006,488.0
Madhapur,19.026190000000042,78.36262000000005,314.0
Malakpet louis,18.10176000000007,79.71536000000003,239.0
Marketing Office Building,17.420270000000073,78.45651000000004,532.0
Mee-Seva,19.103270000000066,78.09393000000006,346.0
Nacharam,17.431250000000034,78.55922000000004,512.0
Nakkalagutta,18.000687574596203,79.55572875403895,272.0
Nalgonda,17.057120000000054,79.26848000000007,238.0
Nizamabad,18.67154000000005,78.09880000000004,391.0
PETL,17.802515696000057,79.01075984700003,464.0
Panjagutta,17.42616000000004,78.45210000000003,532.0
Paradise,18.438840000000027,79.13951000000003,271.0
Pashamylaram,17.56176000000005,78.17238000000003,531.0
R C Puram,17.802515696000057,79.01075984700003,464.0
Rajendranagar,17.392040000000065,78.54012000000006,490.0
SAAQMS Bollaram,18.168900000000065,78.08390000000009,463.0
Sainikpuri,17.491630000000043,78.54544000000004,569.0
Sanathnagar,17.45876000000004,78.44310000000007,549.0
Sangareddy,17.62516000000005,78.08237000000008,525.0
Shameerpet,17.582170000000076,78.56126000000006,578.0
Sympony Park,17.530569987152973,78.2881081586758,537.0
Uppal,17.405770000000075,78.55911000000003,502.0
Zoopark,16.777300000000025,78.01248000000004,530.0
